time,amplitude,frequency,power
4.607875,-0.008227473,0.0,6.769131e-05
4.6079375,-0.009971698,0.0,9.943476e-05
4.608,-0.025143158,0.0,0.0006321784
4.6080625,-0.016586587,0.0,0.00027511487
4.608125,0.0012505759,0.0,1.56394e-06
4.6081875,-0.09122622,0.0,0.008322223
4.60825,-0.18485487,0.0,0.03417132
4.6083125,-0.33426577,0.0,0.1117336
4.608375,-0.46291056,0.0,0.2142862
4.6084375,-0.53554267,0.0,0.28680596
4.6085,-0.6056737,0.0,0.3668406
4.6085625,-0.7308958,0.0,0.5342087
4.608625,-0.7162509,0.0,0.51301533
4.6086875,-0.7654512,0.0,0.5859155
4.60875,-0.7723952,0.0,0.59659433
4.6088125,-0.7363259,0.0,0.5421759
4.608875,-0.55150396,0.0,0.3041566
4.6089375,-0.47999078,0.0,0.23039114
4.609,-0.38994932,0.0,0.15206048
4.6090625,-0.16356216,0.0,0.026752582
4.609125,0.044428356,0.0,0.0019738788
4.6091875,0.22760482,0.0,0.051803954
4.60925,0.45593366,0.0,0.2078755
4.6093125,0.6565524,0.0,0.43106103
4.609375,0.74376357,0.0,0.5531843
4.6094375,0.81356543,0.0,0.6618887
4.6095,0.9060423,0.0,0.8209126
4.6095625,0.7207925,0.0,0.5195418
4.609625,0.6856118,0.0,0.4700635
4.6096875,0.6994998,0.0,0.48929995
4.60975,0.47416574,0.0,0.22483315
4.6098125,0.34548804,0.0,0.11936199
4.609875,0.27993155,0.0,0.07836167
4.6099375,0.13394326,0.0,0.017940797
4.61,0.13111301,0.0,0.01719062
4.6100625,0.08671757,0.0,0.0075199367
4.610125,0.00921477,0.0,8.491199e-05
4.6101875,-0.07365234,0.0,0.0054246676
4.61025,-0.04834463,0.0,0.0023372034
4.6103125,-0.02731521,0.0,0.0007461207
4.610375,-0.0668729,0.0,0.004471985
4.6104375,-0.14641611,0.0,0.021437678
4.6105,-0.097512014,0.0,0.009508593
4.6105625,-0.29826236,0.0,0.08896043
4.610625,-0.3467057,0.0,0.12020484
4.6106875,-0.48311722,0.0,0.23340225
4.61075,-0.570493,0.0,0.32546225
4.6108125,-0.7160205,0.0,0.5126854
4.610875,-0.73678666,0.0,0.5428546
4.6109375,-0.8449615,0.0,0.71396
4.611,-0.78263015,0.0,0.61250997
4.6110625,-0.67955637,0.0,0.46179685
4.611125,-0.7049628,0.0,0.49697253
4.6111875,-0.5392615,0.0,0.290803
4.61125,-0.22724281,0.0,0.051639296
4.6113125,-0.2511683,0.0,0.06308552
4.611375,0.06502995,0.0,0.004228894
4.6114375,0.20279075,0.0,0.04112409
4.6115,0.39116699,0.0,0.1530116
4.6115625,0.6002106,0.0,0.36025277
4.611625,0.65507144,0.0,0.42911857
4.6116875,0.67014414,0.0,0.44909316
4.61175,0.80695057,0.0,0.65116924
4.6118125,0.7820707,0.0,0.61163455
4.611875,0.6956822,0.0,0.48397377
4.6119375,0.6217666,0.0,0.38659373
4.612,0.4730468,0.0,0.22377329
4.6120625,0.48756006,0.0,0.23771481
4.612125,0.39047587,0.0,0.15247141
4.6121875,0.14003159,0.0,0.019608846
4.61225,0.1370697,0.0,0.018788103
4.6123125,0.04929902,0.0,0.0024303934
4.612375,-0.017639702,0.0,0.0003111591
4.6124375,0.031461857,0.0,0.0009898485
4.6125,-0.0012176661,0.0,1.4827107e-06
4.6125625,-0.06213388,0.0,0.003860619
4.612625,-0.057197392,0.0,0.0032715416
4.6126875,-0.066083066,0.0,0.0043669716
4.61275,-0.30889225,0.0,0.09541442
4.6128125,-0.2006187,0.0,0.04024786
4.612875,-0.34716645,0.0,0.12052454
4.6129375,-0.39037713,0.0,0.15239431
4.613,-0.4771276,0.0,0.22765076
4.6130625,-0.74386233,0.0,0.5533312
4.613125,-0.74537617,0.0,0.5555856
4.6131875,-0.83884025,0.0,0.703653
4.61325,-0.7804252,0.0,0.6090635
4.6133125,-0.6915356,0.0,0.47822148
4.613375,-0.61133415,0.0,0.37372944
4.6134375,-0.6220628,0.0,0.38696212
4.6135,-0.40041468,0.0,0.1603319
4.6135625,-0.27117753,0.0,0.07353725
4.613625,-0.0057592313,0.0,3.3168744e-05
4.6136875,0.20078325,0.0,0.040313914
4.61375,0.35414335,0.0,0.12541752
4.6138125,0.60422564,0.0,0.3650886
4.613875,0.6538538,0.0,0.42752475
4.6139375,0.7444218,0.0,0.5541638
4.614,0.839663,0.0,0.705034
4.6140625,0.8003357,0.0,0.64053726
4.614125,0.7654183,0.0,0.58586514
4.6141875,0.61906797,0.0,0.38324514
4.61425,0.5976107,0.0,0.35713857
4.6143125,0.47321135,0.0,0.22392897
4.614375,0.3566116,0.0,0.12717184
4.6144375,0.2219114,0.0,0.04924467
4.6145,0.15378793,0.0,0.023650726
4.6145625,0.044724543,0.0,0.0020002846
4.614625,0.06302244,0.0,0.003971828
4.6146875,0.019910485,0.0,0.0003964274
4.61475,0.0031593498,0.0,9.981491e-06
4.6148125,-0.040577896,0.0,0.0016465656
4.614875,-0.048015535,0.0,0.0023054916
4.6149375,-0.10310669,0.0,0.01063099
4.615,-0.20348187,0.0,0.04140487
4.6150625,-0.21111695,0.0,0.044570368
4.615125,-0.26601067,0.0,0.07076168
4.6151875,-0.2574541,0.0,0.066282615
4.61525,-0.5157309,0.0,0.26597837
4.6153125,-0.54080826,0.0,0.29247358
4.615375,-0.6897255,0.0,0.4757213
4.6154375,-0.7117422,0.0,0.506577
4.6155,-0.7381031,0.0,0.54479617
4.6155625,-0.70265913,0.0,0.49372986
4.615625,-0.6433226,0.0,0.41386396
4.6156875,-0.62722963,0.0,0.393417
4.61575,-0.4015665,0.0,0.16125566
4.6158125,-0.33459488,0.0,0.11195373
4.615875,-0.09254262,0.0,0.008564136
4.6159375,0.0888238,0.0,0.0078896675
4.616,0.31162378,0.0,0.097109385
4.6160625,0.45550582,0.0,0.20748556
4.616125,0.57250047,0.0,0.3277568
4.6161875,0.6925558,0.0,0.4796335
4.61625,0.8092543,0.0,0.6548925
4.6163125,0.83018494,0.0,0.689207
4.616375,0.7970776,0.0,0.6353327
4.6164375,0.7391891,0.0,0.5464005
4.6165,0.5718094,0.0,0.326966
4.6165625,0.47331008,0.0,0.22402243
4.616625,0.45399198,0.0,0.20610872
4.6166875,0.24461924,0.0,0.05983857
4.61675,0.15099059,0.0,0.022798158
4.6168125,0.03909695,0.0,0.0015285716
4.616875,0.11130126,0.0,0.01238797
4.6169375,0.013394326,0.0,0.00017940797
4.617,-0.032844074,0.0,0.0010787332
4.6170625,0.053972226,0.0,0.0029130012
4.617125,-0.0642072,0.0,0.004122565
4.6171875,-0.03369973,0.0,0.0011356717
4.61725,-0.12334628,0.0,0.0152143035
4.6173125,-0.10323834,0.0,0.010658154
4.617375,-0.22543277,0.0,0.050819933
4.6174375,-0.30484435,0.0,0.09293008
4.6175,-0.40864214,0.0,0.1669884
